Week,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
1,Julian,D.Colquitt,KC,0,0.0,1.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,-0.13333333333333358,0.1,0.6000000000000001,-0.0,0,0.0,-0.0,-0.0,0,5.566666666666666
1,Stearns,R.Allen,NE,0,0.0,0.0,0.2,1,0.0,0.0,2,0.0,0.0,0.0,-0.4666666666666665,0.65,0.5,-0.0,0,0.0,-0.0,-0.0,0,3.8833333333333337
1,Levine,L.Edwards,NYJ,0,0.0,0.0,0.1,4,0.0,0.0,2,0.75,0.5,0.0,0.45,0.025,0.2,-0.0,0,0.0,-0.0,-0.0,0,8.025
1,Zack,C.Schmidt,BUF,0,0.4,0.5,0.0,2,0.0,0.0,1,0.0,0.0,0.0,-0.21666666666666645,-0.0,0.30000000000000004,-0.25,0,0.4,-0.0,-0.0,0,3.733333333333333
1,Kane,M.Bosher,ATL,0,0.0,0.0,0.0,3,0.75,0.0,0,0.0,0.0,0.0,1.4333333333333336,-0.6000000000000001,0.5,-0.0,0,0.0,-0.0,-0.0,0,5.083333333333334
1,Free Agent,P.O'Donnell,CHI,0,0.4,0.25,0.0,3,0.75,0.0,3,0.0,0.0,0.0,0.3799999999999997,-0.30000000000000004,0.30000000000000004,-0.0,0,0.4,-0.0,-0.0,0,7.78
1,Free Agent,K.Huber,CIN,0,0.0,0.25,0.1,2,0.0,0.0,1,0.75,0.0,0.0,-0.2600000000000002,0.1333333333333333,0.0,-0.0,0,0.0,-0.0,-0.0,0,3.9733333333333327
1,Free Agent,S.Koch,BAL,0,0.0,0.5,0.1,1,0.0,0.0,2,0.75,0.0,0.0,-0.3333333333333336,0.43333333333333335,0.4,-0.0,0,0.0,-0.0,-0.0,0,4.85
1,Taylor,B.Colquitt,CLE,-3,0.0,0.0,0.0,3,0.75,0.0,3,0.75,0.0,0.0,0.33999999999999986,-0.16666666666666666,0.2,-0.0,0,0.0,-0.0,-0.0,0,4.873333333333333
1,Pacillo,J.Berry,PIT,0,0.0,0.25,0.2,1,0.0,0.0,0,0.0,0.0,0.0,0.08333333333333358,-0.2333333333333334,0.2,-0.0,0,0.0,-0.0,-0.0,0,1.5
1,Free Agent,K.Redfern,DET,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.5,0.9,0.0,-0.0,0,0.0,-1.5,-0.0,0,0.8999999999999999
1,Free Agent,A.Lee,ARI,0,0.0,0.0,0.1,1,0.0,0.0,0,0.0,0.0,0.0,0.1,-0.7000000000000001,0.2,-0.25,0,0.0,-0.0,-0.0,0,0.4500000000000002
1,Free Agent,M.Prater,DET,0,0.0,0.5,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-1.025,0.0,0.2,-0.0,0,0.0,-0.0,-0.0,0,1.4249999999999998
1,O'Leary,S.Lechler,HOU,0,0.0,0.75,0.1,2,0.0,0.0,2,0.0,0.0,0.0,-0.17999999999999972,0.2,0.1,-0.0,0,0.0,-0.0,-0.0,0,4.97
1,Gillen,B.Nortman,JAX,0,0.4,0.25,0.1,2,0.75,0.0,0,0.0,0.0,0.0,0.17500000000000002,-1.2000000000000002,0.4,-0.5,0,0.4,-0.0,-0.0,0,2.375
1,Free Agent,B.Kern,TEN,0,0.4,0.25,0.1,1,0.0,0.0,2,0.0,0.0,0.0,0.2,0.4,0.4,-0.25,0,0.4,-0.0,-0.0,0,4.500000000000001
1,Looney,M.King,OAK,0,0.4,0.0,0.0,2,0.0,0.0,1,0.75,0.5,0.0,0.7666666666666665,0.4,0.6000000000000001,-0.0,0,0.4,-0.0,-0.0,0,6.416666666666668
1,Free Agent,T.Way,WAS,0,0.0,0.5,0.1,1,0.0,0.0,2,0.75,0.0,0.0,-0.45,0.0,0.2,-0.0,0,0.0,-0.0,-0.0,0,4.1
1,Free Agent,D.Jones,PHI,0,0.0,0.25,0.0,1,0.0,0.0,1,0.75,0.5,0.25,-0.25,0.75,0.4,-0.25,0,0.0,-0.0,-0.0,0,4.4
1,Bandit,R.Sanchez,IND,0,0.0,0.0,0.30000000000000004,3,0.0,0.0,2,0.0,0.0,0.0,0.5333333333333335,0.4,0.1,-0.5,0,0.0,-0.0,-0.0,0,5.833333333333332
1,Ralph,J.Hekker,LA,0,0.0,0.0,0.1,0,0.0,0.0,5,1.5,0.0,0.0,-0.13999999999999987,0.9,0.6000000000000001,-0.0,0,0.0,-0.0,-0.0,0,7.960000000000001
1,Bagley,J.Ryan,SEA,0,0.0,0.25,0.0,3,0.0,0.0,4,1.5,0.5,0.0,0.08333333333333358,0.9,0.30000000000000004,-0.0,0,0.0,-0.0,-0.0,0,10.533333333333337
