Week,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
1,J.Scott,GB,0,0.0,0.75,0.0,4,1.5,0.0,5,0.75,0.0,0.0,0.2555555555555557,-0.0,0.2,-0.0,0,0,-0.0,-0.0,0,12.455555555555556
1,P.O'Donnell,CHI,0,0.0,1.0,0.1,2,0.0,0.0,3,0.75,0.5,0.0,-0.23750000000000002,0.8,0.1,-0.0,0,0,-0.0,-0.0,0,8.0125
1,J.Hekker,LA,-3,0.0,0.0,0.1,2,1.5,0.5,0,0.0,0.0,0.0,0.30000000000000004,-0.6000000000000001,0.6000000000000001,-0.25,0,0,-0.0,-0.0,0,1.1500000000000001
1,M.Palardy,CAR,0,0.4,0.25,0.0,2,0.0,0.0,1,0.75,0.0,0.0,0.325,-0.05,0.5,-0.25,0,0,-0.0,-0.0,0,4.925000000000001
1,J.Gillan,CLE,0,0.0,1.0,0.0,1,0.0,0.0,3,0.75,0.0,0.0,0.16000000000000014,0,0.1,-0.25,0,0,-0.0,-0.0,0,5.76
1,B.Kern,TEN,0,0.0,0.25,0.2,1,0.75,0.5,3,1.5,0.5,0.0,0.11666666666666643,-0.9,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,7.616666666666666
1,L.Cooke,JAX,0,0.0,0.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.30000000000000004,0.9,0.4,-0.0,0,0,-0.0,-0.0,0,1.85
1,D.Colquitt,KC,0,0.4,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.6000000000000001,0,0.8,-0.0,0,0,-0.0,-0.0,0,2.8
1,M.Haack,MIA,0,0.0,0.5,0.0,6,0.0,0.0,2,0.0,0.0,0.0,0.8666666666666665,-0.55,0.2,-0.0,0,0,-0.0,-0.0,0,9.016666666666666
1,S.Koch,BAL,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,1.1,0.9,0.9,-0.0,0,0,-0.0,-0.0,0,4.9
1,M.Bosher,ATL,-3,0.0,0.75,0.0,1,0.0,0.0,2,0.75,0.0,0.0,-0.16666666666666644,0,0.0,-0.0,0,0,-0.0,-0.0,0,1.3333333333333335
1,B.Colquitt,MIN,0,0.0,0.0,0.0,3,0.0,0.0,2,0.0,0.0,0.0,0.4399999999999999,-0.25,0.4,-0.0,0,0,-0.0,-0.0,0,5.59
1,L.Edwards,NYJ,0,0.0,1.0,0.1,2,0.0,0.0,5,1.5,0.5,0.0,-0.15714285714285695,-0.1,0.0,-0.5,0,0,-0.0,-0.0,0,9.342857142857143
1,C.Bojorquez,BUF,0,0.8,0.0,0.0,1,0.75,0.0,1,0.75,0.0,0.0,-0.16666666666666644,0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,4.433333333333334
1,C.Johnston,PHI,0,0.0,0.5,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.6333333333333336,-0.2,0.4,-0.0,0,0,-0.0,-0.0,0,4.333333333333334
1,T.Way,WAS,0,0.0,0.0,0.1,4,0.0,0.0,1,0.0,0.0,0.0,0.94,-0.25,0.5,-0.0,0,0,-0.0,-0.0,0,6.289999999999999
1,R.Sanchez,IND,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.0,-0.9,0.9,0.2,-0.75,0,0,-0.0,-0.0,0,-0.45
1,T.Long,LAC,0,0.0,0.25,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.4,0.4,0.4,-0.0,0,0,-0.0,-0.0,0,4.45
1,K.Huber,CIN,0,0.4,0.5,0.1,2,0.0,0.0,1,0.75,0.0,0.0,-0.07500000000000001,0,0.4,-0.25,0,0,-0.0,-0.0,0,4.825
1,M.Dickson,SEA,0,0.0,0.75,0.0,3,0.75,0.0,2,0.0,0.0,0.0,0.2,0.05,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,7.05
1,S.Martin,DET,0,0.0,0.5,0.1,1,0.0,0.0,4,0.75,0.5,0.25,-0.5750000000000001,0.30000000000000004,0.5,-0.0,0,0,-0.0,-0.0,0,7.324999999999999
1,A.Lee,ARI,0,0.4,0.0,0.1,4,0.0,0.0,3,0.75,0.0,0.0,0.25,0.9400000000000001,0.5,-0.0,0,0,-0.0,-0.0,0,9.94
1,C.Jones,DAL,0,0.0,1.0,0.0,5,0.0,0.0,2,0.75,0.0,0.0,-0.375,-0.0,0.5,-0.0,0,0,-0.0,-0.0,0,8.875
1,R.Dixon,NYG,0,0.0,0.75,0.1,0,0.0,0.0,3,0.75,0.0,0.0,-0.35000000000000003,0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,4.55
1,M.Wishnowsky,SF,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.05,0.9,0.5,-0.25,0,0,-0.0,-0.0,0,3.1999999999999997
1,B.Pinion,TB,0,0.0,0.25,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-2.4000000000000004,0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,-0.10000000000000031
1,J.Bailey,NE,0,0.0,0.5,0.1,1,0.0,0.0,1,0.0,0.0,0.0,-0.4,0,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,2.9000000000000004
1,J.Berry,PIT,0,0.0,0.75,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.060000000000000143,-0.8500000000000001,0.1,-0.0,0,0,-0.0,-0.0,0,4.0600000000000005
1,T.Daniel,HOU,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.2,0.2333333333333333,0.4,-0.0,0,0,-0.0,-0.0,0,2.433333333333333
1,T.Morstead,NO,0,0.0,0.25,0.1,1,0.0,0.0,2,0.75,0.5,0.0,-0.1,0,0.6000000000000001,-0.25,0,0,-0.0,-0.0,0,4.85
1,C.Wadman,DEN,0,0.0,0.25,0.1,1,0.75,0.0,2,0.0,0.0,0.0,0.3333333333333336,-0.0,0.4,-0.25,0,0,-0.0,-0.0,0,4.583333333333334
1,A.Cole,OAK,0,0.4,0.25,0.1,1,0.0,0.0,1,0.75,0.0,0.0,-0.03333333333333357,0,0.4,-0.0,0,0,-0.0,-0.0,0,3.8666666666666663
2,B.Pinion,TB,0,0.0,0.0,0.0,1,0.75,0.0,2,0.75,0.0,0.0,0.41666666666666646,-0.07500000000000001,0.4,-0.25,0,0,-0.0,-0.0,0,4.991666666666666
