Week,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
1,Free Agent,J.Scott,GB,0,0.0,0.75,0.0,4,1.5,0.0,5,0.75,0.0,0.0,0.2555555555555557,-0.0,0.2,-0.0,0,0,-0.0,-0.0,0,12.455555555555556
1,Free Agent,P.O'Donnell,CHI,0,0.0,1.0,0.1,2,0.0,0.0,3,0.75,0.5,0.0,-0.2375,0.8,0.1,-0.0,0,0,-0.0,-0.0,0,8.0125
1,Free Agent,J.Hekker,LA,-3,0.0,0.0,0.1,2,1.5,0.5,0,0.0,0.0,0.0,0.30000000000000004,-0.6000000000000001,0.6000000000000001,-0.25,0,0,-0.0,-0.0,0,1.15
1,Free Agent,M.Palardy,CAR,0,0.4,0.25,0.0,2,0.0,0.0,1,0.75,0.0,0.0,0.325,-0.05,0.5,-0.25,0,0,-0.0,-0.0,0,4.925000000000002
1,Free Agent,J.Gillan,CLE,0,0.0,1.0,0.0,1,0.0,0.0,3,0.75,0.0,0.0,0.16000000000000014,0.0,0.1,-0.25,0,0,-0.0,-0.0,0,5.76
1,Free Agent,B.Kern,TEN,0,0.0,0.25,0.2,1,0.75,0.5,3,1.5,0.5,0.0,0.11666666666666645,-0.9,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,7.616666666666666
1,Free Agent,L.Cooke,JAX,0,0.0,0.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.30000000000000004,0.9,0.4,-0.0,0,0,-0.0,-0.0,0,1.85
1,Free Agent,D.Colquitt,KC,0,0.4,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.6000000000000001,0.0,0.8,-0.0,0,0,-0.0,-0.0,0,2.8
1,Free Agent,M.Haack,MIA,0,0.0,0.5,0.0,6,0.0,0.0,2,0.0,0.0,0.0,0.8666666666666665,-0.55,0.2,-0.0,0,0,-0.0,-0.0,0,9.016666666666666
1,Free Agent,S.Koch,BAL,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,1.1,0.9,0.9,-0.0,0,0,-0.0,-0.0,0,4.9
1,Free Agent,M.Bosher,ATL,-3,0.0,0.75,0.0,1,0.0,0.0,2,0.75,0.0,0.0,-0.16666666666666646,0.0,0.0,-0.0,0,0,-0.0,-0.0,0,1.3333333333333337
1,Free Agent,B.Colquitt,MIN,0,0.0,0.0,0.0,3,0.0,0.0,2,0.0,0.0,0.0,0.4399999999999999,-0.25,0.4,-0.0,0,0,-0.0,-0.0,0,5.59
1,Free Agent,L.Edwards,NYJ,0,0.0,1.0,0.1,2,0.0,0.0,5,1.5,0.5,0.0,-0.15714285714285695,-0.1,0.0,-0.5,0,0,-0.0,-0.0,0,9.342857142857145
1,Free Agent,C.Bojorquez,BUF,0,0.8,0.0,0.0,1,0.75,0.0,1,0.75,0.0,0.0,-0.16666666666666646,0.0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,4.433333333333334
1,Free Agent,C.Johnston,PHI,0,0.0,0.5,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.6333333333333336,-0.2,0.4,-0.0,0,0,-0.0,-0.0,0,4.333333333333334
1,Free Agent,T.Way,WAS,0,0.0,0.0,0.1,4,0.0,0.0,1,0.0,0.0,0.0,0.94,-0.25,0.5,-0.0,0,0,-0.0,-0.0,0,6.289999999999999
1,Free Agent,R.Sanchez,IND,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.0,-0.9,0.9,0.2,-0.75,0,0,-0.0,-0.0,0,-0.45
1,Free Agent,T.Long,LAC,0,0.0,0.25,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.4,0.4,0.4,-0.0,0,0,-0.0,-0.0,0,4.45
1,Free Agent,K.Huber,CIN,0,0.4,0.5,0.1,2,0.0,0.0,1,0.75,0.0,0.0,-0.07500000000000001,0.0,0.4,-0.25,0,0,-0.0,-0.0,0,4.825
1,Free Agent,M.Dickson,SEA,0,0.0,0.75,0.0,3,0.75,0.0,2,0.0,0.0,0.0,0.2,0.05,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,7.05
1,Free Agent,S.Martin,DET,0,0.0,0.5,0.1,1,0.0,0.0,4,0.75,0.5,0.25,-0.5750000000000001,0.30000000000000004,0.5,-0.0,0,0,-0.0,-0.0,0,7.324999999999998
1,Free Agent,A.Lee,ARI,0,0.4,0.0,0.1,4,0.0,0.0,3,0.75,0.0,0.0,0.25,0.94,0.5,-0.0,0,0,-0.0,-0.0,0,9.94
1,Free Agent,C.Jones,DAL,0,0.0,1.0,0.0,5,0.0,0.0,2,0.75,0.0,0.0,-0.375,-0.0,0.5,-0.0,0,0,-0.0,-0.0,0,8.875
1,Free Agent,R.Dixon,NYG,0,0.0,0.75,0.1,0,0.0,0.0,3,0.75,0.0,0.0,-0.35000000000000003,0.0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,4.55
1,Free Agent,M.Wishnowsky,SF,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.05,0.9,0.5,-0.25,0,0,-0.0,-0.0,0,3.2
1,Free Agent,B.Pinion,TB,0,0.0,0.25,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-2.4000000000000004,0.0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,-0.10000000000000032
1,Free Agent,J.Bailey,NE,0,0.0,0.5,0.1,1,0.0,0.0,1,0.0,0.0,0.0,-0.4,0.0,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,2.9000000000000004
1,Free Agent,J.Berry,PIT,0,0.0,0.75,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.06000000000000015,-0.8500000000000001,0.1,-0.0,0,0,-0.0,-0.0,0,4.0600000000000005
1,Free Agent,T.Daniel,HOU,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.2,0.2333333333333333,0.4,-0.0,0,0,-0.0,-0.0,0,2.433333333333333
1,Free Agent,T.Morstead,NO,0,0.0,0.25,0.1,1,0.0,0.0,2,0.75,0.5,0.0,-0.1,0.0,0.6000000000000001,-0.25,0,0,-0.0,-0.0,0,4.85
1,Free Agent,C.Wadman,DEN,0,0.0,0.25,0.1,1,0.75,0.0,2,0.0,0.0,0.0,0.3333333333333336,-0.0,0.4,-0.25,0,0,-0.0,-0.0,0,4.583333333333334
1,Free Agent,A.Cole,OAK,0,0.4,0.25,0.1,1,0.0,0.0,1,0.75,0.0,0.0,-0.03333333333333357,0.0,0.4,-0.0,0,0,-0.0,-0.0,0,3.866666666666666
2,Levine,B.Pinion,TB,0,0.0,0.0,0.0,1,0.75,0.0,2,0.75,0.0,0.0,0.4166666666666665,-0.07500000000000001,0.4,-0.25,0,0,-0.0,-0.0,0,4.991666666666666
2,Free Agent,M.Palardy,CAR,0,0.0,0.25,0.0,3,0.0,0.0,2,1.5,0.5,0.0,0.5600000000000002,0.2,0.4,-0.0,0,0,-0.0,-0.0,0,8.41
