Week,Owner,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses
1,Miles,R.Allen,NE,4,171,0,0,2,0,0,0,0,1,1,0,0,2,3,4,0
1,Free Agent,J.Berry,PIT,2,87,0,0,1,0,1,0,0,0,0,0,0,1,1,3,2
1,Free Agent,T.Masthay,GB,2,97,0,1,0,0,1,0,0,0,0,0,0,1,11,5,0
1,Bandit,P.O'Donnell,CHI,1,56,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0
1,Free Agent,J.Ryan,SEA,4,195,0,1,1,0,2,1,0,2,0,0,0,2,81,3,0
1,Free Agent,J.Hekker,STL,3,142,0,0,0,1,2,0,0,0,0,0,0,2,63,5,0
1,David,B.Anger,JAC,5,231,0,0,2,0,1,0,0,2,0,0,0,3,46,1,2
1,Kane,B.Nortman,CAR,4,179,0,1,2,0,1,0,0,2,0,0,0,1,9,3,1
1,Free Agent,M.Darr,MIA,4,217,0,1,1,0,3,1,0,1,0,0,0,2,23,2,0
1,Free Agent,T.Way,WAS,3,124,0,1,0,0,1,0,0,1,0,0,0,2,74,2,1
1,Free Agent,P.McAfee,IND,4,177,0,0,2,1,0,0,0,0,0,0,0,1,6,0,1
1,Free Agent,C.Schmidt,BUF,5,252,0,1,2,0,2,1,0,2,2,0,0,2,1,5,0
1,Free Agent,R.Quigley,NYJ,3,131,0,1,1,0,1,0,0,1,1,0,0,1,10,5,0
1,Free Agent,A.Lee,CLE,2,121,0,0,0,0,2,2,0,0,0,0,0,2,13,2,0
1,Julian,D.Colquitt,KC,7,307,0,2,0,0,2,0,0,4,1,0,0,4,14,5,1
1,Free Agent,S.Lechler,HOU,7,329,0,1,0,0,2,0,0,1,0,0,0,5,81,2,1
1,Free Agent,T.Morstead,NO,4,171,0,0,1,1,2,0,0,1,0,0,0,2,15,0,0
1,Free Agent,D.Butler,ARI,4,158,0,0,1,1,0,0,0,2,1,1,0,1,2,5,0
1,Fed,S.Martin,DET,5,176,0,0,2,2,0,0,0,3,0,0,0,0,0,3,0
1,Free Agent,M.Scifres,SD,2,104,0,0,0,0,1,0,0,0,0,0,0,2,34,5,1
1,Free Agent,S.Koch,BAL,6,310,0,0,1,2,4,0,0,2,1,0,0,3,20,2,0
1,Looney,B.Colquitt,DEN,5,259,0,0,1,1,4,1,0,2,0,0,0,2,32,4,0
1,Ralph,M.King,OAK,6,260,0,1,3,0,0,0,0,2,1,0,0,2,23,1,0
1,Free Agent,K.Huber,CIN,5,219,0,0,1,0,1,0,0,1,1,0,0,3,27,5,0
1,Free Agent,J.Schum,TB,4,188,0,0,0,1,1,0,0,0,0,0,0,2,14,2,0
1,Gillen,B.Kern,TEN,4,189,0,0,0,1,1,0,0,1,1,1,0,2,17,5,0
1,Free Agent,C.Jones,DAL,2,107,0,0,0,0,2,0,0,1,1,0,0,2,3,5,0
1,Free Agent,B.Wing,NYG,4,179,0,0,2,0,2,1,0,3,1,0,0,1,-3,5,0
1,Connor,M.Bosher,ATL,4,231,0,0,0,1,4,1,0,3,1,0,0,3,25,6,0
1,Free Agent,D.Jones,PHI,5,226,0,1,1,0,3,2,0,1,0,0,0,3,22,4,1
1,Free Agent,B.Pinion,SF,3,140,0,0,1,0,1,0,0,2,0,0,0,2,9,4,0
1,Free Agent,J.Locke,MIN,4,150,0,0,1,1,0,0,0,2,0,0,0,2,0,1,1
2,Looney,B.Colquitt,DEN,7,314,0,0,1,1,2,0,0,1,1,0,0,4,15,4,0
2,Julian,D.Colquitt,KC,4,210,0,0,1,2,3,0,0,1,0,0,0,0,0,3,0
2,Kane,B.Nortman,CAR,7,377,0,1,0,0,4,4,0,0,0,0,0,6,58,4,0
2,Free Agent,S.Lechler,HOU,8,388,0,0,3,0,3,1,0,3,0,0,0,4,44,3,0
2,Miles,R.Allen,NE,1,54,0,0,0,0,1,0,0,0,0,0,0,1,14,8,0
2,Free Agent,C.Schmidt,BUF,6,249,0,0,1,1,1,0,0,2,0,0,0,4,41,2,1
