Week,Owner,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards
8,Free Agent,T.Way,WAS,3,128,0,0,0,0,1,0,0,1,0,0,0,4,22
8,Free Agent,M.Bosher,ATL,2,101,0,0,0,0,1,0,0,0,0,0,0,2,60
8,Free Agent,J.Schum,GB,3,163,0,1,0,0,3,0,0,0,0,0,0,2,28
8,Free Agent,C.Schmidt,BUF,3,131,0,0,0,1,1,0,0,1,0,0,0,2,19
8,Free Agent,R.Allen,NE,3,134,0,0,2,0,0,0,0,0,0,0,0,1,2
8,Free Agent,L.Edwards,NYJ,6,282,0,0,0,1,3,0,0,3,1,1,1,2,28
8,Free Agent,B.Colquitt,CLE,5,207,0,0,2,1,2,0,0,3,0,0,0,2,15
8,Free Agent,S.Lechler,HOU,4,203,0,0,1,0,3,0,0,3,1,0,0,3,5
8,Free Agent,S.Martin,DET,5,223,0,0,0,1,1,0,0,0,0,0,0,4,35
8,Free Agent,P.McAfee,IND,7,347,0,1,2,1,3,0,0,1,0,0,0,3,57
8,Free Agent,D.Colquitt,KC,5,245,0,0,2,1,3,0,0,3,1,0,0,2,5
8,Free Agent,T.Morstead,NO,2,92,0,0,0,0,0,0,0,0,0,0,0,2,14
8,Free Agent,J.Ryan,SEA,3,146,0,1,2,0,1,0,0,1,0,0,0,0,0
8,Free Agent,B.Anger,TB,8,384,0,1,0,2,3,0,0,3,1,1,1,4,33
8,Free Agent,M.King,OAK,6,240,0,0,1,1,1,1,0,4,0,0,0,1,0
8,Free Agent,R.Dixon,DEN,5,253,0,0,2,0,2,1,0,0,0,0,0,3,14
8,Free Agent,D.Kaser,SD,5,285,0,2,0,0,5,2,0,2,1,1,0,2,15
8,Free Agent,R.Quigley,ARI,6,259,0,0,4,1,1,0,0,1,0,0,0,1,0
8,Free Agent,A.Lee,CAR,3,157,0,0,0,1,2,1,0,1,0,0,0,2,6
8,Free Agent,C.Jones,DAL,5,222,0,1,1,1,1,1,0,1,0,0,0,2,9
8,Free Agent,D.Jones,PHI,6,269,0,0,2,0,5,2,0,2,0,0,0,4,27
8,Free Agent,J.Locke,MIN,7,309,0,1,1,0,1,1,1,3,2,0,0,3,26
8,Free Agent,P.O'Donnell,CHI,5,222,0,0,1,1,2,0,0,3,1,0,0,3,15
9,Free Agent,B.Anger,TB,3,143,0,0,1,0,2,0,0,3,1,0,0,2,1
9,Free Agent,R.Dixon,DEN,6,267,0,0,1,0,1,0,0,0,0,0,0,5,32
9,Free Agent,M.King,OAK,4,169,0,0,1,0,1,0,0,2,2,2,0,1,12
9,Free Agent,J.Berry,PIT,9,431,1,0,2,1,5,1,0,2,1,1,0,3,15
9,Free Agent,S.Koch,BAL,9,380,0,0,2,3,0,0,0,5,1,0,0,3,5
9,Free Agent,B.Colquitt,CLE,5,220,0,0,1,0,2,0,0,1,1,1,1,3,18
9,Free Agent,C.Jones,DAL,2,75,0,0,1,0,1,0,0,1,0,0,0,1,2
9,Free Agent,B.Nortman,JAX,4,167,0,1,1,0,0,0,0,1,0,0,0,2,46
9,Free Agent,D.Colquitt,KC,7,353,0,0,3,0,5,0,0,4,0,0,0,4,34
9,Free Agent,M.Darr,MIA,3,120,0,0,1,0,0,0,0,2,0,0,0,2,10
9,Free Agent,L.Edwards,NYJ,3,121,0,0,1,0,0,0,0,0,0,0,0,2,12
9,Free Agent,S.Martin,DET,5,262,0,0,0,1,4,0,0,0,0,0,0,4,31
9,Free Agent,J.Locke,MIN,4,146,0,0,4,0,0,0,0,3,0,0,0,0,0
9,Free Agent,B.Wing,NYG,7,322,0,0,1,2,3,0,0,1,0,0,0,2,76
9,Free Agent,D.Jones,PHI,3,141,0,0,0,0,0,0,0,1,1,1,0,1,10
9,Free Agent,A.Lee,CAR,6,282,0,1,1,0,2,0,0,3,1,1,0,4,40
9,Free Agent,J.Hekker,LA,5,243,0,1,2,0,1,1,1,2,0,0,0,0,0
9,Free Agent,B.Pinion,SF,2,85,0,0,1,0,1,0,0,0,0,0,0,0,0
9,Free Agent,T.Morstead,NO,4,210,0,0,1,0,3,0,0,2,0,0,0,3,23
9,Free Agent,P.McAfee,IND,4,222,0,1,2,0,3,1,0,0,0,0,0,1,8
9,Free Agent,J.Schum,GB,4,193,0,0,1,2,2,1,0,2,1,1,0,1,3
9,Free Agent,B.Kern,TEN,4,182,0,0,2,0,1,0,0,1,0,0,0,2,3
9,Free Agent,D.Kaser,SD,3,140,0,1,1,0,1,0,0,1,0,0,0,1,0
9,Free Agent,J.Ryan,SEA,3,142,1,0,1,0,2,1,0,1,0,0,0,3,16
9,Free Agent,C.Schmidt,BUF,3,98,0,0,0,1,0,0,0,1,0,0,0,2,20
